Tanggal, Beras (Kg), Gula Pasir (Kg), Minyak Goreng (Lt), Tepung Terigu (Kg), Daging Sapi (Kg), Daging Ayam (Kg), Telur Ayam (Kg), Cabe Merah  (Kg), Bawang Merah (Kg), Bawang Putih (Kg)
1/7/2020,"11,659","13,000","13,000","7,000","115,000","30,000","20,000","40,000","27,200","30,000"
1/14/2020,"11,567","13,000","13,000","7,000","115,000","30,000","20,000","40,000","27,200","30,000"
1/21/2020,"11,267","13,000","13,000","7,000","115,000","30,000","20,000","40,000","27,200","30,000"
2/4/2020,"11,455","13,000","13,000","7,000","115,000","30,000","20,000","40,000","27,200","30,000"
2/11/2020,"11,646","13,000","13,000","7,000","115,000","30,000","20,000","40,000","27,200","30,000"
2/18/2020,"11,604","13,000","13,000","7,000","115,000","30,000","20,000","40,000","27,200","30,000"
2/25/2020,"11,804","13,000","13,000","7,000","115,000","30,000","20,000","40,000","27,200","30,000"
3/3/2020,"11,904","13,000","13,000","7,000","115,000","30,000","20,000","40,000","27,200","30,000"
3/10/2020,"10,580","13,000","13,000","7,000","115,000","29,000","20,000","40,000","27,200","30,000"
3/17/2020,"10,580","13,000","13,000","7,000","115,000","29,000","20,000","40,000","27,200","30,000"
3/24/2020,"10,580","13,000","13,000","7,000","115,000","29,000","20,000","40,000","27,200","30,000"
3/31/2020,"10,580","13,000","13,000","7,000","115,000","29,000","20,000","40,000","27,200","30,000"
4/7/2020,"11,504","13,000","14,000","7,000","115,000","29,000","20,000","40,000","28,500","30,000"
4/14/2020,"11,504","13,000","14,000","7,000","115,000","29,000","20,000","40,000","28,500","30,000"
4/21/2020,"11,504","13,000","14,000","7,000","115,000","29,000","20,000","40,000","28,500","30,000"
4/28/2020,"11,504","13,000","14,000","7,000","115,000","29,000","20,000","40,000","28,500","30,000"
5/5/2020,"11,704","13,000","14,000","8,000","135,000","29,000","25,000","38,000","28,500","32,000"
5/12/2020,"11,704","13,000","14,000","8,000","135,000","29,000","25,000","38,000","28,500","32,000"
5/19/2020,"11,704","13,000","14,000","8,000","135,000","29,000","25,000","38,000","28,500","32,000"
5/26/2020,"11,704","13,000","14,000","8,000","135,000","29,000","25,000","38,000","28,500","32,000"
6/2/2020,"11,704","13,000","14,000","8,000","135,000","29,000","25,000","38,000","28,500","32,000"
6/16/2020,"11,704","13,000","14,000","8,000","135,000","29,000","25,000","38,000","28,500","32,000"
6/23/2020,"11,704","13,000","14,000","8,000","135,000","29,000","25,000","38,000","28,500","32,000"
6/30/2020,"11,704","13,000","14,000","8,000","135,000","29,000","25,000","38,000","28,500","32,000"
7/7/2020,"11,900","13,500","13,500","8,000","135,000","29,000","25,000","38,000","29,000","32,000"
7/14/2020,"11,900","13,500","13,500","8,000","135,000","29,000","25,000","38,000","29,000","32,000"
7/21/2020,"11,900","13,500","13,500","8,000","135,000","29,000","25,000","38,000","29,000","32,000"
7/28/2020,"11,900","13,500","13,500","8,000","135,000","29,000","25,000","38,000","29,000","32,000"
8/4/2020,"11,900","13,500","13,500","8,000","135,000","25,000","25,000","45,000","29,000","32,000"
8/11/2020,"11,900","13,500","13,500","8,000","135,000","25,000","25,000","45,000","29,000","32,000"
8/18/2020,"11,900","13,500","13,500","8,000","135,000","25,000","25,000","45,000","29,000","32,000"
8/25/2020,"11,900","13,500","13,500","8,000","135,000","25,000","25,000","45,000","29,000","32,000"
9/1/2020,"11,900","13,500","13,500","8,000","117,000","25,000","25,000","45,000","29,000","35,000"
9/8/2020,"11,900","13,500","13,500","8,000","117,000","25,000","25,000","45,000","29,000","35,000"
9/15/2020,"11,900","13,500","13,500","8,000","117,000","25,000","25,000","45,000","29,000","35,000"
9/22/2020,"11,900","13,500","13,500","8,000","117,000","25,000","25,000","45,000","29,000","35,000"
9/29/2020,"12,000","13,500","14,000","8,000","117,000","25,000","25,000","45,000","29,500","35,000"
10/6/2020,"12,000","13,500","14,000","8,000","117,000","25,000","25,000","45,000","29,500","35,000"
10/13/2020,"12,000","13,500","14,000","8,000","117,000","25,000","25,000","45,000","29,500","35,000"
10/20/2020,"12,000","13,500","14,000","8,000","117,000","25,000","25,000","45,000","29,500","35,000"
10/27/2020,"12,000","13,500","14,000","8,000","117,000","25,000","25,000","47,000","29,500","35,000"
11/3/2020,"12,000","13,500","14,000","8,000","117,000","25,000","25,000","47,000","29,500","35,000"
11/10/2020,"12,000","13,500","14,000","8,000","117,000","25,000","25,000","47,000","29,500","35,000"
11/17/2020,"12,000","13,500","14,000","8,000","117,000","25,000","25,000","47,000","29,500","35,000"
11/24/2020,"12,000","13,500","14,000","8,000","117,000","25,000","25,000","47,000","29,500","35,000"
12/1/2020,"12,000","13,500","14,000","8,000","117,000","25,000","25,000","47,000","29,500","35,000"
12/8/2020,"12,000","13,500","14,000","8,000","117,000","25,000","25,000","47,000","29,500","35,000"
12/15/2020,"12,000","13,500","14,000","8,000","117,000","25,000","25,000","47,000","29,500","35,000"
12/22/2020,"12,000","13,500","14,000","8,000","117,000","25,000","25,000","47,000","29,500","35,000"
12/29/2020,"12,000","13,500","14,000","8,000","117,000","25,000","25,000","47,000","29,500","35,000"
1/7/2021,"12,000","13,500","14,000","8,000","117,000","25,000","25,000","47,000","29,500","35,000"
1/14/2021,"12,000","13,500","14,000","8,000","117,000","25,000","25,000","47,000","29,500","35,000"
1/21/2021,"11,300","13,500","14,000","8,000","117,000","25,000","25,000","47,000","27,000","38,000"
1/28/2021,"11,300","13,500","14,000","8,000","117,000","25,000","25,000","47,000","27,000","38,000"
2/4/2021,"11,300","13,500","14,000","8,000","117,000","25,000","25,000","47,000","27,000","38,000"
2/11/2021,"11,300","13,500","14,000","8,000","117,000","25,000","25,000","47,000","27,000","38,000"
2/18/2021,"11,000","13,500","14,000","9,000","117,000","25,000","25,000","49,000","27,000","38,000"
2/25/2021,"11,000","13,500","14,000","9,000","117,000","25,000","25,000","49,000","27,000","38,000"
3/4/2021,"11,000","13,500","14,000","9,000","117,000","25,000","25,000","49,000","27,000","38,000"
3/11/2021,"11,000","13,500","14,000","9,000","117,000","25,000","25,000","49,000","27,000","38,000"
3/18/2021,"11,100","13,500","14,000","9,000","117,000","25,000","25,000","49,000","27,000","38,000"
3/25/2021,"11,100","13,500","14,000","9,000","117,000","25,000","25,000","49,000","27,000","38,000"
4/1/2021,"11,100","13,500","14,000","9,000","117,000","25,000","25,000","49,000","27,000","38,000"
4/8/2021,"11,100","13,500","14,000","9,000","117,000","25,000","25,000","49,000","27,000","38,000"
4/15/2021,"11,100","13,500","14,000","9,000","117,000","25,000","25,000","49,000","27,000","38,000"
4/22/2021,"11,100","13,500","14,000","9,000","117,000","25,000","25,000","49,000","27,000","38,000"
4/29/2021,"11,100","13,500","14,000","9,000","117,000","25,000","25,000","49,000","27,000","38,000"
5/6/2021,"11,100","13,500","14,000","9,000","117,000","25,000","25,000","49,000","27,000","38,000"
5/13/2021,"11,100","13,500","14,000","9,000","117,000","25,000","27,000","49,000","27,000","38,000"
5/20/2021,"11,100","13,500","14,000","9,000","117,000","25,000","27,000","49,000","27,000","38,000"
5/27/2021,"11,100","13,500","14,000","9,000","117,000","25,000","27,000","49,000","27,000","38,000"
6/3/2021,"11,100","13,500","14,000","9,000","117,000","25,000","27,000","49,000","27,000","38,000"
6/10/2021,"11,100","13,500","14,000","9,000","120,000","25,000","27,000","49,000","27,000","38,000"
